country_id,latitude,longitude,bright_ti4,scan,track,tanggal_f,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,Kota,lat_p,lon_p,distance,hs
IDN,-3.33151,105.23296,330.35,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.64,5.88,D,Palembang,-2.9831,104.7527,65.8,1
IDN,-3.32894,105.27225,335.05,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.38,4.46,D,Palembang,-2.9831,104.7527,69.3,1
IDN,-3.3284,105.27579,345.69,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.35,3.96,D,Palembang,-2.9831,104.7527,69.6,1
IDN,-3.32709,105.23952,333.42,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,297.7,4.96,D,Palembang,-2.9831,104.7527,66.1,1
IDN,-3.32669,104.95531,345.86,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.16,5.1,D,Palembang,-2.9831,104.7527,44.2,1
IDN,-3.32336,104.95481,337.11,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.25,5.1,D,Palembang,-2.9831,104.7527,43.8,1
IDN,-3.31986,105.24203,331.15,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301,4.37,D,Palembang,-2.9831,104.7527,65.9,1
IDN,-3.31797,104.90051,332.12,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.85,5.21,D,Palembang,-2.9831,104.7527,40.5,1
IDN,-3.31586,104.91444,355.31,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.32,7.98,D,Palembang,-2.9831,104.7527,41,1
IDN,-3.31575,104.82544,333.65,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.05,1.83,D,Palembang,-2.9831,104.7527,37.7,1
IDN,-3.31522,104.82892,333.42,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301,2.13,D,Palembang,-2.9831,104.7527,37.7,1
IDN,-3.31359,104.90697,352.85,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.48,10.39,D,Palembang,-2.9831,104.7527,40.4,1
IDN,-3.31306,104.91046,347.99,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.65,10.39,D,Palembang,-2.9831,104.7527,40.5,1
