latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-3.67653,105.39898,343.71,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.67653105.39898,105.0618978,1,,,,,,,,,,,,
-3.65931,105.79255,347.48,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.65931105.79255,137.6432663,1,,,,,,,,,,,,
-3.65592,105.79205,344.07,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.65592105.79205,137.3934381,1,,,,,,,,,,,,
-3.65186,105.38081,335.79,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.65186105.38081,101.6918689,1,,,,,,,,,,,,
-3.64937,104.68317,334.61,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.64937104.68317,74.07891473,1,,,,,,,,,,,,
-3.64851,105.38029,336.18,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.64851105.38029,101.3831238,1,,,,,,,,,,,,
-3.64516,105.37979,340.04,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.64516105.37979,101.0763585,1,,,,,,,,,,,,
-3.64462,105.38333,333.7,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.64462105.38333,101.3049019,1,,,,,,,,,,,,
-3.63989,103.76018,336.07,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.63989103.76018,132.0657172,1,,,,,,,,,,,,
-3.63015,105.27635,336.29,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.63015105.27635,92.22837271,1,,,,,,,,,,,,
-3.62302,105.30053,350.86,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.62302105.30053,93.34822834,1,,,,,,,,,,,,
-3.62259,105.731,344.33,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.62259105.7310,129.6966525,1,,,,,,,,,,,,
-3.62248,105.30405,339.78,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.62248105.30405,93.5587212,1,,,,,,,,,,,,
-3.62204,105.7346,355.41,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.62204105.73460,129.9991869,1,,,,,,,,,,,,
-3.62149,105.73822,331.08,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.62149105.73822,130.3041445,1,,,,,,,,,,,,
-3.61968,105.30003,343.81,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61968105.30003,93.0323006,1,,,,,,,,,,,,
-3.61921,105.73049,344.16,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61921105.73049,129.4458262,1,,,,,,,,,,,,
-3.61866,105.73409,342.62,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61866105.73409,129.748947,1,,,,,,,,,,,,
-3.61795,105.28894,336.67,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61795105.28894,92.085284,1,,,,,,,,,,,,
-3.617,105.74493,346.95,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.6170105.74493,130.6647719,1,,,,,,,,,,,,
-3.61645,105.74855,337.05,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61645105.74855,130.9719672,1,,,,,,,,,,,,
-3.61633,105.29951,349.04,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.61633105.29951,92.71450879,1,,,,,,,,,,,,
