country_id,latitude,longitude,bright_ti4,scan,track,tanggal,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,lat_p,lon_p
IDN,-3.62302,105.30053,350.86,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.85,8.38,D,-2.9831,104.7527
IDN,-3.62259,105.731,344.33,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,292.75,4.22,D,-2.9831,104.7527
IDN,-3.62248,105.30405,339.78,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.91,8.38,D,-2.9831,104.7527
IDN,-3.62204,105.7346,355.41,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.05,4.22,D,-2.9831,104.7527
IDN,-3.62149,105.73822,331.08,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,295.17,6.12,D,-2.9831,104.7527
IDN,-3.61968,105.30003,343.81,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.55,9.3,D,-2.9831,104.7527
IDN,-3.61921,105.73049,344.16,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,295.85,4.22,D,-2.9831,104.7527
IDN,-3.61866,105.73409,342.62,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,299.71,4.22,D,-2.9831,104.7527
IDN,-3.61795,105.28894,336.67,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.74,3.67,D,-2.9831,104.7527
IDN,-3.617,105.74493,346.95,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,300.65,3.96,D,-2.9831,104.7527
IDN,-3.61645,105.74855,337.05,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.11,3.96,D,-2.9831,104.7527
IDN,-3.61633,105.29951,349.04,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.75,9.3,D,-2.9831,104.7527
IDN,-3.61582,105.72997,335.52,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,301.65,15.78,D,-2.9831,104.7527
IDN,-3.61527,105.73358,354.58,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,307.85,15.78,D,-2.9831,104.7527
IDN,-3.61515,105.2849,330.56,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,304.15,3.69,D,-2.9831,104.7527
IDN,-3.61472,105.7372,349.5,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,304.36,11.15,D,-2.9831,104.7527
IDN,-3.61461,105.28843,335.96,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.35,3.69,D,-2.9831,104.7527
IDN,-3.61407,105.29195,352.05,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,309.24,9.25,D,-2.9831,104.7527
IDN,-3.61353,105.29549,340.32,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.27,9.25,D,-2.9831,104.7527
IDN,-3.61244,105.30254,336.25,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.36,32.33,D,-2.9831,104.7527
IDN,-3.61189,105.73307,347.22,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,297.38,15.78,D,-2.9831,104.7527
IDN,-3.61134,105.73669,335.39,0.4,0.37,2023-10-01,629,1,VIIRS,n,2.0NRT,296.51,11.15,D,-2.9831,104.7527
IDN,-3.61072,105.29146,335.45,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.92,9.25,D,-2.9831,104.7527
IDN,-3.61018,105.29498,352.49,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.39,9.25,D,-2.9831,104.7527
IDN,-3.60964,105.29851,333.17,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.94,32.33,D,-2.9831,104.7527
IDN,-3.60086,104.84597,332.61,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.01,2.99,D,-2.9831,104.7527
IDN,-3.5939,104.64655,345.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.04,3.92,D,-2.9831,104.7527
IDN,-3.59337,104.65001,334.15,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.88,3.92,D,-2.9831,104.7527
IDN,-3.58836,104.61605,334.98,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.36,5.6,D,-2.9831,104.7527
